Что,Артикул,Цена,Количество,Ссылка,Химки,Теплый Стан,Белая Дача
"Каркас гардероба, под беленый дуб, 50x58x236 см",102.131.81,3300,1,,0,22,78
"Штанга платяная, белый, 100 см",003.665.94,350,1,,276,1103,666
"Полка, под беленый дуб, 100x58 см",502.779.82,550,2,,158,520,184
"Полка, под беленый дуб, 50x58 см",302.779.78,350,8,,0,33,41
"Ящик, под беленый дуб, 50x58 см",403.697.41,1700,6,,1,0,11
"Направляющие для корзин, темно-серый, 58 см",503.666.43,300,2,,310,91,281
"Сетчатая корзина, темно-серый, 100x58 см",004.014.89,1300,2,,0,0,0
"Рама д/раздв дврц, с направл, 2 шт, белый, 200x236 см",503.665.77,1200,1,,26,35,61
"4 панели д/рамы раздвижной дверцы, глянцевый светло-бежевый, 100x236 см",603.738.17,6000,2,https://www.ikea.com/ru/ru/p/hokksund-hokksund-4-paneli-d-ramy-razdvizhnoy-dvercy-glyancevyy-svetlo-bezhevyy-60373817/,43,42,48
Устройство для плавного закрывания,004.437.76,3000,1,,87,118,0
"Плечики, естественный",503.753.17,499,4,https://www.ikea.com/ru/ru/p/bumerang-bumerang-plechiki-estestvennyy-50375317,704,256,384
Разное,,,,,,,
Ковер бежевый или зелтый,404.922.32,799,1,https://www.ikea.com/ru/ru/p/toftlund-toftlund-kover-bezhevyy-40492232/#content,130,48,82
"Светильник напольный, белый/никелированный",893.874.42,3999,1,https://www.ikea.com/ru/ru/p/ringsta-ringsta-skaftet-skaftet-svetilnik-napolnyy-belyy-nikelirovannyy-s89387442/,14,28,15
"Лампа настольная, белый/никелированный, 41 см",893.865.60,1499,1,https://www.ikea.com/ru/ru/p/ringsta-ringsta-skaftet-skaftet-lampa-nastolnaya-belyy-nikelirovannyy-s89386560/,14,15,10
"Поддон, белый, 18 см",504.411.62,49,1,https://www.ikea.com/ru/ru/p/vitpeppar-vitpeppar-poddon-belyy-50441162/,364,124,315
"Поднос, бамбук, 35x23 см",003.803.64,849,1,https://www.ikea.com/ru/ru/p/fruktskal-fruktskel-podnos-bambuk-00380364/,100,160,80
"Канал для кабеля горизонтальный, серебристый, 70 см",403.849.87,799,1,https://www.ikea.com/ru/ru/p/signum-signum-kanal-dlya-kabelya-gorizontalnyy-serebristyy-40384987/,0,0,150
"Жалюзи плиссе, блокирующие свет, темно-серый,",803.721.19,699,2,https://www.ikea.com/ru/ru/p/schottis-shottis-zhalyuzi-plisse-blokiruyushchie-svet-temno-seryy-80372119/,809,254,140
"Жалюзи, белый, 90x190 см",603.706.25,199,3,https://www.ikea.com/ru/ru/p/schottis-shottis-zhalyuzi-belyy-60370625/#content,1100,1102,855
"Тумба с ящиками на колесах, черно-коричневый, 36x76 см",794.221.96,6199,1,https://www.ikea.com/ru/ru/p/alex-aleks-tumba-s-yashchikami-na-kolesah-cherno-korichnevyy-s79422196/,9,38,16
"Подставка для журналов, белый/кот",604.977.52,149,2,https://www.ikea.com/ru/ru/p/fluns-flyuns-podstavka-dlya-zhurnalov-belyy-kot-60497752/,288,504,824
"Потолочный софит, 4 ламп, белый",103.620.67,3799,1,,35,62,17
Мебель в большую комнату,,,,,,,
"Стеллаж, под беленый дуб, 77x147 см",003.147.36,5499,1,https://www.ikea.com/ru/ru/p/kallax-kallaks-stellazh-pod-belenyy-dub-00314736/,6,90,20
"Коробка с крышкой, серый разноцветный/бумага, 32x35x32 см",304.673.13,599,4,https://www.ikea.com/ru/ru/p/tjena-tena-korobka-s-kryshkoy-seryy-raznocvetnyy-bumaga-30467313/,51,99,62
"",,,,,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,
