Что,Артикул,Цена,Количество,Ссылка,Химки,Теплый Стан,Белая Дача
"Тумба с ящиками на колесах, черно-коричневый, 36x76 см",794.221.96,6199,1,https://www.ikea.com/ru/ru/p/alex-aleks-tumba-s-yashchikami-na-kolesah-cherno-korichnevyy-s79422196/,0,0,6
"Подставка для журналов, белый/кот",604.977.52,149,2,https://www.ikea.com/ru/ru/p/fluns-flyuns-podstavka-dlya-zhurnalov-belyy-kot-60497752/,102,554,824
"Потолочный софит, 4 ламп, белый",103.620.67,3799,1,,14,16,2
"Гибкая разделочная доска, темно-серый/темная бирюза, 28x36 см",203.814.09,149,2,,1334,1950,1520
"Контейнер с крышкой, 5 шт, дымчатый",104.002.72,999,2,https://www.ikea.com/ru/ru/p/godmorgon-godmorgon-konteyner-s-kryshkoy-5-sht-dymchatyy-10400272/,16,17,39
Мебель в большую комнату,,,,,,,
"Стеллаж, под беленый дуб, 77x147 см",003.147.36,5499,1,https://www.ikea.com/ru/ru/p/kallax-kallaks-stellazh-pod-belenyy-dub-00314736/,0,70,0
"Коробка с крышкой, серый разноцветный/бумага, 32x35x32 см",304.673.13,599,4,https://www.ikea.com/ru/ru/p/tjena-tena-korobka-s-kryshkoy-seryy-raznocvetnyy-bumaga-30467313/,33,69,25
"",,,,,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,
