Что,Артикул,Цена,Количество,Ссылка,Полная цена,Под-итог
"Стеллаж, под беленый дуб, 77x147 см",003.147.36,5499,1,https://www.ikea.com/ru/ru/p/kallax-kallaks-stellazh-pod-belenyy-dub-00314736/,5499,
"Коробка с крышкой, серый разноцветный/бумага, 32x35x32 см",304.673.13,599,4,https://www.ikea.com/ru/ru/p/tjena-tena-korobka-s-kryshkoy-seryy-raznocvetnyy-bumaga-30467313/,2396,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,161129,161129
