Что,Артикул,Цена,Количество,Ссылка,Химки,Теплый Стан,Белая Дача
"Поднос, бамбук, 35x23 см",003.803.64,849,1,https://www.ikea.com/ru/ru/p/fruktskal-fruktskel-podnos-bambuk-00380364/,612,425,462
"Канал для кабеля горизонтальный, серебристый, 70 см",403.849.87,799,1,https://www.ikea.com/ru/ru/p/signum-signum-kanal-dlya-kabelya-gorizontalnyy-serebristyy-40384987/,0,0,154
"Жалюзи плиссе, блокирующие свет, темно-серый,",803.721.19,699,2,https://www.ikea.com/ru/ru/p/schottis-shottis-zhalyuzi-plisse-blokiruyushchie-svet-temno-seryy-80372119/,825,530,593
"Жалюзи, белый, 90x190 см",603.706.25,199,3,https://www.ikea.com/ru/ru/p/schottis-shottis-zhalyuzi-belyy-60370625/#content,3262,1370,2198
"Тумба с ящиками на колесах, черно-коричневый, 36x76 см",794.221.96,6199,1,https://www.ikea.com/ru/ru/p/alex-aleks-tumba-s-yashchikami-na-kolesah-cherno-korichnevyy-s79422196/,10,38,17
"Подставка для журналов, белый/кот",604.977.52,149,2,https://www.ikea.com/ru/ru/p/fluns-flyuns-podstavka-dlya-zhurnalov-belyy-kot-60497752/,707,990,1515
"Потолочный софит, 4 ламп, белый",103.620.67,3799,1,,35,98,47
Мебель в большую комнату,,,,,,,
"Стеллаж, под беленый дуб, 77x147 см",003.147.36,5499,1,https://www.ikea.com/ru/ru/p/kallax-kallaks-stellazh-pod-belenyy-dub-00314736/,8,90,31
"Коробка с крышкой, серый разноцветный/бумага, 32x35x32 см",304.673.13,599,4,https://www.ikea.com/ru/ru/p/tjena-tena-korobka-s-kryshkoy-seryy-raznocvetnyy-bumaga-30467313/,98,304,28
"",,,,,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,
