Что,Артикул,Цена,Количество,Ссылка,Химки,Теплый Стан,Белая Дача
Шкаф в маленькой комнате,,,,,,,
"Штанга платяная, белый, 75 см",103.665.98,300,2,https://www.ikea.com/ru/ru/p/-10366598/,170,259,147
"Подсветка светодиодная, цвет алюминия, 67 см",003.561.80,1500,2,https://www.ikea.com/ru/ru/p/norrfly-norrfli-podsvetka-svetodiodnaya-cvet-alyuminiya-00356180/,45,91,15
"Рама д/раздв дврц, с направл, 2 шт, алюминий, 150x236 см",603.665.72,11000,2,https://www.ikea.com/ru/ru/p/pax-paks-rama-d-razdv-dvrc-s-napravl-2-sht-alyuminiy-60366572/,85,42,43
"4 панели д/рамы раздвижной дверцы, глянцевый светло-бежевый, 75x236 см",803.738.16,5000,4,https://www.ikea.com/ru/ru/p/hokksund-hokksund-4-paneli-d-ramy-razdvizhnoy-dvercy-glyancevyy-svetlo-bezhevyy-80373816/,189,70,92
Устройство для плавного закрывания,004.437.76,3000,2,https://www.ikea.com/ru/ru/p/komplement-kompliment-ustroystvo-dlya-plavnogo-zakryvaniya-00443776/,111,142,0
Шкаф в прихожей,,,,https://api.dexf.ikea.com/vpc/v1/configurations/retailunit/RU/locale/ru-RU/JMBPM9/redirect?type=email&linkType=deeplink,,,
"Каркас гардероба, под беленый дуб, 50x35x236 см",602.469.71,2800,1,,108,22,0
"Полка, под беленый дуб, 100x58 см",502.779.82,550,3,,284,533,220
"Рама д/раздв дврц, с направл, 2 шт, алюминий, 200x236 см",903.665.75,12000,1,,8,9,2
Устройство для плавного закрывания,004.437.76,3000,2,,111,142,0
"4 панели д/рамы раздвижной дверцы, глянцевый светло-серый, 100x236 см",203.823.43,6000,2,https://www.ikea.com/ru/ru/p/hokksund-hokksund-4-paneli-d-ramy-razdvizhnoy-dvercy-glyancevyy-svetlo-seryy-90382349/,58,15,37
"(Нет)Сетчатая корзина, темно-серый, 100x58 см",004.014.89,1300,1,,0,0,37
"Сетчатая корзина, белый, 100x58 см",804.014.90,1300,1,https://www.ikea.com/ru/ru/p/komplement-kompliment-setchataya-korzina-belyy-80401490/#content,14,12,22
"(Нет)Направляющие для корзин, темно-серый, 58 см",503.666.43,300,1,,0,145,0
"Направляющие для корзин, белый, 58 см",303.666.44,300,1,https://www.ikea.com/ru/ru/p/komplement-kompliment-napravlyayushchie-dlya-korzin-belyy-30366644/#content,74,1329,377
"Полка, под беленый дуб, 50x35 см",202.799.54,300,5,,0,28,38
"Полка, под беленый дуб, 50x58 см",302.779.78,350,1,,5,138,0
"(Нет)Направляющие для корзин, темно-серый, 35 см",803.697.44,250,4,,0,3,0
"(Нет)Сетчатая корзина, темно-серый, 50x35 см",604.014.91,600,4,,0,0,0
Шкаф в большую комнату,,,,,,,
"Каркас гардероба, под беленый дуб, 100x58x236 см",902.131.82,4200,1,,0,53,106
"Каркас гардероба, под беленый дуб, 50x58x236 см",102.131.81,3300,1,,0,37,0
"Штанга платяная, белый, 100 см",003.665.94,350,1,,665,1169,204
"Полка, под беленый дуб, 100x58 см",502.779.82,550,2,,284,533,220
"Полка, под беленый дуб, 50x58 см",302.779.78,350,8,,5,138,0
"Ящик, под беленый дуб, 50x58 см",403.697.41,1700,6,,14,0,83
"Направляющие для корзин, темно-серый, 58 см",503.666.43,300,4,,0,145,0
"Сетчатая корзина, темно-серый, 50x58 см",204.014.93,800,2,,0,124,128
"Сетчатая корзина, темно-серый, 100x58 см",004.014.89,1300,2,,0,0,37
"Рама д/раздв дврц, с направл, 2 шт, белый, 200x236 см",503.665.77,1200,1,,28,32,30
"4 панели д/рамы раздвижной дверцы, глянцевый светло-бежевый, 100x236 см",603.738.17,6000,2,,46,42,50
Устройство для плавного закрывания,004.437.76,3000,1,,111,142,0
Разное,,,,,,,
"Гардины, 2 шт., белый, 145x300 см",803.867.29,1699,3,https://www.ikea.com/ru/ru/p/gjertrud-gertrud-gardiny-2-sht-belyy-80386729/,110,2,327
"Подвесной модуль д/хранения, синий, 35x90 см",,,1,https://www.ikea.com/ru/ru/p/nordrana-nordrena-podvesnoy-modul-d-hraneniya-siniy-10420642/,,,
Ковер бежевый или зелтый,404.922.32,799,1,https://www.ikea.com/ru/ru/p/toftlund-toftlund-kover-bezhevyy-40492232/#content,270,129,98
"Светильник напольный, белый/никелированный",893.874.42,3999,1,https://www.ikea.com/ru/ru/p/ringsta-ringsta-skaftet-skaftet-svetilnik-napolnyy-belyy-nikelirovannyy-s89387442/,1,29,32
"Лампа настольная, белый/никелированный, 41 см",893.865.60,1499,1,https://www.ikea.com/ru/ru/p/ringsta-ringsta-skaftet-skaftet-lampa-nastolnaya-belyy-nikelirovannyy-s89386560/,16,16,15
"Поддон, белый, 18 см",504.411.62,49,1,https://www.ikea.com/ru/ru/p/vitpeppar-vitpeppar-poddon-belyy-50441162/,374,386,418
"Поднос, бамбук, 35x23 см",003.803.64,849,1,https://www.ikea.com/ru/ru/p/fruktskal-fruktskel-podnos-bambuk-00380364/,622,427,472
"Канал для кабеля горизонтальный, серебристый, 70 см",403.849.87,799,1,https://www.ikea.com/ru/ru/p/signum-signum-kanal-dlya-kabelya-gorizontalnyy-serebristyy-40384987/,0,0,156
Мебель в большую комнату,,,,,,,
"Стеллаж, под беленый дуб, 77x147 см",003.147.36,5499,1,https://www.ikea.com/ru/ru/p/kallax-kallaks-stellazh-pod-belenyy-dub-00314736/,11,83,31
"Каркас кровати с обивкой, Книса светло-серый, 160x200 см",204.463.78,17999,1,https://www.ikea.com/ru/ru/p/slattum-slattum-karkas-krovati-s-obivkoy-knisa-svetlo-seryy-20446378/,0,8,5
"",,,,,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,
